,ApplicantID,JobID,title,score
0,326,303112,Java Developer @ TransHire,0.7494775251900346
1,326,294684,Java Developer @ Kavaliro,0.7408859264648847
2,326,269922,Entry Level Java Developer / Jr. Java Developer - Contract to Hire @ iTech Solutions,0.7370067616428033
3,326,141831,"Lead Java/J2EE Developer - Contract to Hire @ iTech Solutions, Inc.",0.6716673937124861
4,326,270171,"Senior Java Developer - Contract to Hire - Great Salary @ iTech Solutions, Inc.",0.6450373772174958
5,326,305264,Sr. Java Developer @ Paladin Consulting Inc,0.6255315736496132
6,326,309945,"Java Software Engineer @ iTech Solutions, Inc.",0.5922913263911141
7,326,245753,Java Administrator @ ConsultNet,0.5302305793452344
8,326,146640,Jr. Java Developer @ Paladin Consulting Inc,0.5105340708444382
9,326,150882,Java Consultant - Mobile Apps Development @ Consultis,0.4867887337500865
10,326,251696,Java Developer @ ConsultNet,0.41425650700407324
11,326,243777,Java Developer @ Mindteck,0.40843791149945075
12,326,302425,Software Developer @ OfficeTeam,0.40194789768539607
13,326,301878,Java Developer @ NWN Corporation,0.3765155251798811
14,326,246871,Java Developer @ Mindteck,0.3761849242093093
15,326,307724,Web Developer @ Creative Circle,0.3687036423386732
16,326,311213,"Application UI Developer - Contract to Hire @ iTech Solutions, Inc.",0.3632622700303543
17,326,310575,Sr. Web Developer @ Creative Circle,0.35439965182071836
18,326,262192,Web Developer @ Creative Circle,0.35264960503940446
19,326,275825,Sr Application Developer or Engineer @ ConsultNet,0.34425624477239625
20,326,250354,Web Developer  (Long Term Freelance) @ Creative Circle,0.3320361278570202
21,326,257251,Front End Developer @ ConsultNet,0.3320134985277352
22,326,301132,UI Developer @ ConsultNet,0.32775029802214073
23,326,251741,Mongo DB Developer @ ConsultNet,0.30596860776446716
24,326,244411,Sr. .Net Developer @ Staffing Solutions Enterprises,0.3055300616574537
